,district,Hindu,Muslim,Christian,Sikh,Buddhist,Jain,Other Religion,total_population
0,Ghaziabad,3414427.0,1186776.0,19026.0,23001.0,3487.0,16412.0,265.0,4663394.0
1,Ghazipur,3233790.0,368153.0,4181.0,810.0,3145.0,213.0,184.0,3610476.0
2,Giridih,1856202.0,508586.0,14645.0,937.0,650.0,1503.0,59218.0,2441741.0
3,Goalpara,347878.0,579929.0,77862.0,771.0,194.0,477.0,103.0,1007214.0
4,Godda,937126.0,289182.0,37795.0,97.0,128.0,115.0,47067.0,1311510.0
5,Golaghat,917426.0,90312.0,50582.0,1131.0,3863.0,530.0,1347.0,1065191.0
6,Gonda,2739076.0,678615.0,4735.0,1893.0,649.0,338.0,57.0,3425363.0
7,Gondiya,1153861.0,26157.0,1827.0,2160.0,125282.0,1568.0,5080.0,1315935.0
8,Gopalganj,2119262.0,436057.0,2463.0,271.0,167.0,133.0,28.0,2558381.0
9,Gorakhpur,4009037.0,403847.0,9662.0,2123.0,2848.0,460.0,207.0,4428184.0
10,Gulbarga,2011014.0,513125.0,8344.0,826.0,9589.0,4865.0,330.0,2548093.0
11,Gumla,309563.0,51429.0,202449.0,221.0,531.0,23.0,457468.0,1021684.0
12,Guna,1172248.0,49203.0,1208.0,3271.0,529.0,13474.0,52.0,1239985.0
13,Guntur,4217597.0,559770.0,89763.0,764.0,323.0,3282.0,332.0,4871831.0
14,Gurdaspur,1074332.0,27667.0,176587.0,1002874.0,405.0,580.0,812.0,2283257.0
15,Gurgaon,1408801.0,70842.0,9725.0,15097.0,944.0,7451.0,254.0,1513114.0
16,Gwalior,1835299.0,141735.0,4119.0,24790.0,4361.0,18058.0,217.0,2028579.0
17,Hailakandi,251194.0,397653.0,8480.0,84.0,490.0,247.0,636.0,658784.0
18,Hamirpur,449412.0,3711.0,243.0,591.0,95.0,293.0,9.0,454354.0
19,Hamirpur,1010014.0,91269.0,814.0,196.0,74.0,41.0,273.0,1102681.0
20,Hanumangarh,1433067.0,118673.0,1542.0,216997.0,241.0,1935.0,138.0,1772593.0
21,Haora,3535844.0,1270641.0,8666.0,4380.0,1258.0,9699.0,1265.0,4831753.0
22,Harda,527462.0,38640.0,683.0,676.0,93.0,1573.0,55.0,569182.0
23,Hardoi,3508131.0,556219.0,5822.0,5688.0,6671.0,446.0,98.0,4083075.0
24,Hardwar,1214935.0,648119.0,4878.0,17364.0,709.0,2501.0,46.0,1888552.0
25,Hassan,1630814.0,120011.0,15611.0,289.0,623.0,5820.0,3.0,1773171.0
26,Haveri,1281878.0,297927.0,2406.0,419.0,68.0,9834.0,702.0,1593234.0
27,Hazaribagh,1397227.0,281247.0,17137.0,1312.0,71.0,1676.0,34154.0,1732824.0
28,Hingoli,863199.0,127552.0,992.0,643.0,176679.0,5278.0,103.0,1174446.0
29,Hisar,1701061.0,21650.0,1945.0,12270.0,334.0,3620.0,33.0,1740913.0
30,Hoshangabad,1175203.0,52269.0,4453.0,3127.0,1550.0,3888.0,107.0,1240597.0
31,Hoshiarpur,1000743.0,23089.0,14968.0,538208.0,3476.0,2034.0,531.0,1583049.0
32,Hugli,4574569.0,870204.0,7300.0,2662.0,1730.0,2160.0,49050.0,5507675.0
33,Hyderabad,2046051.0,1713405.0,87522.0,11446.0,1268.0,19560.0,1929.0,3881181.0
34,Idukki,541854.0,82206.0,481507.0,100.0,189.0,44.0,384.0,1106284.0
35,Imphal East,274906.0,80199.0,27361.0,181.0,639.0,62.0,70825.0,454173.0
36,Imphal West,387497.0,24298.0,23377.0,589.0,1891.0,1264.0,77032.0,515948.0
37,Indore,2728225.0,415142.0,18523.0,25696.0,11496.0,71667.0,720.0,3271469.0
38,Jabalpur,2159065.0,203652.0,23142.0,13256.0,4320.0,33728.0,21010.0,2458173.0
39,Jagatsinghapur,1086140.0,46929.0,1604.0,206.0,74.0,58.0,63.0,1135074.0
40,Jaintia Hills,12456.0,1646.0,271596.0,34.0,284.0,45.0,107559.0,393620.0
41,Jaipur,5819980.0,687452.0,12708.0,18782.0,1020.0,81079.0,257.0,6621278.0
42,Jaisalmer,497045.0,168129.0,874.0,1723.0,98.0,1521.0,34.0,669424.0
43,Jajapur,1725595.0,93642.0,1623.0,470.0,58.0,100.0,3073.0,1824561.0
44,Jalandhar,1394329.0,30233.0,26016.0,718363.0,11385.0,4011.0,805.0,2185142.0
45,Jalaun,1509708.0,171581.0,1148.0,463.0,2875.0,256.0,145.0,1686176.0
46,Jalgaon,3457615.0,560261.0,7091.0,3091.0,143865.0,27404.0,9662.0,4208989.0
47,Jalna,1504641.0,274221.0,12542.0,1629.0,152540.0,9619.0,336.0,1955528.0
48,Jalor,1732852.0,78990.0,730.0,231.0,144.0,14640.0,82.0,1827669.0
49,Jalpaiguri,3156781.0,445817.0,186279.0,2994.0,50676.0,1461.0,23816.0,3867824.0
50,Jammu,1289240.0,107489.0,12104.0,114272.0,470.0,1987.0,321.0,1525883.0
51,Jamnagar,1810443.0,320805.0,4392.0,1873.0,1086.0,18856.0,136.0,2157591.0
52,Jamtara,550560.0,164406.0,4419.0,520.0,118.0,783.0,68564.0,789370.0
53,Jamui,1525746.0,217621.0,8443.0,162.0,159.0,87.0,3438.0,1755656.0
54,Janjgir - Champa,1597089.0,14173.0,2926.0,635.0,556.0,707.0,2220.0,1618306.0
55,Jashpur,629509.0,15336.0,189588.0,474.0,467.0,694.0,14835.0,850903.0
56,Jaunpur,3981502.0,483750.0,4947.0,1286.0,7898.0,349.0,114.0,4479846.0
57,Jehanabad,1045117.0,75742.0,691.0,148.0,248.0,60.0,58.0,1122064.0
58,Jhabua,960925.0,15733.0,38423.0,141.0,65.0,8871.0,388.0,1024546.0
59,Jhajjar,945693.0,8247.0,734.0,1042.0,105.0,645.0,22.0,956488.0
60,Jhalawar,1299751.0,96164.0,842.0,819.0,46.0,12488.0,42.0,1410152.0
61,Jhansi,1823930.0,147842.0,7050.0,4951.0,1203.0,7328.0,311.0,1992615.0
62,Jharsuguda,553587.0,12783.0,10462.0,1441.0,80.0,70.0,67.0,578490.0
63,Jhunjhunun,1905682.0,228178.0,1004.0,275.0,56.0,548.0,85.0,2135828.0
64,Jind,1276669.0,23016.0,889.0,29103.0,172.0,2594.0,56.0,1332499.0
65,Jodhpur,3224399.0,411558.0,6035.0,4123.0,514.0,36697.0,80.0,3683406.0
66,Jorhat,1008219.0,54684.0,21051.0,1540.0,2378.0,719.0,578.0,1089169.0
67,Junagadh,2397056.0,334858.0,2586.0,1110.0,1291.0,3841.0,77.0,2740819.0
68,Jyotiba Phule Nagar,1075440.0,750368.0,5952.0,5295.0,189.0,517.0,21.0,1837782.0
69,Kabirdham,776013.0,12206.0,980.0,924.0,433.0,1167.0,30222.0,821945.0
70,Kachchh,1608921.0,442355.0,6192.0,6353.0,490.0,25312.0,98.0,2089721.0
71,Kaimur,1456229.0,155283.0,1407.0,296.0,7707.0,129.0,1534.0,1622585.0
72,Kaithal,974520.0,8232.0,1769.0,87558.0,265.0,351.0,70.0,1072765.0
73,Kalahandi,1555367.0,4975.0,11160.0,796.0,175.0,1225.0,220.0,1573918.0
74,Kamrup,877495.0,601784.0,33297.0,319.0,185.0,1330.0,55.0,1514465.0
75,Kamrup Metropolitan,1064412.0,151071.0,18810.0,3679.0,1627.0,9250.0,170.0,1249019.0
76,Kancheepuram,3537399.0,173785.0,256762.0,1620.0,990.0,4962.0,756.0,3976274.0
77,Kandhamal,580300.0,2138.0,148895.0,82.0,290.0,47.0,23.0,731775.0
78,Kangra,1461140.0,19797.0,3023.0,8929.0,14511.0,194.0,208.0,1507802.0
79,Kanker (Uttar Bastar Kanker),627460.0,6040.0,4007.0,552.0,2213.0,1071.0,105869.0,747212.0
80,Kannauj,1375788.0,273967.0,1263.0,504.0,2033.0,606.0,65.0,1654226.0
81,Kanniyakumari,909872.0,78590.0,876299.0,160.0,438.0,156.0,10.0,1865525.0
82,Kannur,1509592.0,742483.0,262526.0,424.0,1118.0,193.0,722.0,2517058.0
83,Kanpur Dehat,1612968.0,176327.0,1300.0,478.0,819.0,155.0,103.0,1792150.0
84,Kanpur Nagar,3792174.0,720660.0,15751.0,29676.0,2733.0,5710.0,589.0,4567293.0
85,Kanshiram Nagar,1211427.0,213822.0,1969.0,2280.0,3907.0,313.0,72.0,1433790.0
86,Kapurthala,336124.0,10190.0,5445.0,453692.0,6662.0,553.0,334.0,813000.0
87,Karaikal,152638.0,28835.0,18391.0,46.0,63.0,54.0,14.0,200041.0
88,Karauli,1370977.0,81553.0,602.0,297.0,70.0,3424.0,413.0,1457336.0
89,Karbi Anglong,766000.0,20290.0,157789.0,370.0,6260.0,397.0,3568.0,954674.0
90,Kargil,10341.0,108239.0,604.0,1171.0,20126.0,28.0,4.0,140513.0
91,Karimganj,521962.0,692489.0,11990.0,114.0,446.0,524.0,110.0,1227635.0
92,Karimnagar,3491139.0,244723.0,24979.0,2086.0,332.0,312.0,115.0,3763686.0
93,Karnal,1341002.0,31650.0,2049.0,126207.0,532.0,1516.0,49.0,1503005.0
94,Karur,993666.0,53292.0,16483.0,115.0,29.0,7.0,79.0,1063671.0
95,Kasaragod,729987.0,486913.0,87454.0,151.0,362.0,130.0,152.0,1305149.0
96,Kathua,540063.0,64234.0,1828.0,9551.0,24.0,16.0,2.0,615718.0
97,Katihar,1684589.0,1365645.0,8659.0,2754.0,212.0,507.0,2141.0,3064507.0
98,Katni,1240650.0,37232.0,3158.0,1167.0,157.0,5342.0,2643.0,1290349.0
99,Kaushambi,1372381.0,220423.0,2225.0,522.0,687.0,545.0,3.0,1596786.0
100,Kendrapara,1386792.0,50247.0,1423.0,169.0,62.0,52.0,24.0,1438769.0
101,Kendujhar,1752694.0,27752.0,9141.0,2177.0,209.0,131.0,7372.0,1799476.0
102,Khagaria,1486989.0,175588.0,1253.0,143.0,79.0,86.0,115.0,1664253.0
103,Khammam,2595321.0,158887.0,33463.0,655.0,217.0,459.0,539.0,2789541.0
104,Khandwa,1182330.0,116277.0,2800.0,1726.0,1425.0,3856.0,158.0,1308572.0
105,Khargone,1725441.0,135085.0,2075.0,2896.0,284.0,6028.0,89.0,1871898.0
106,Kheda,2000884.0,264482.0,26629.0,1403.0,300.0,3479.0,82.0,2297259.0
107,Kheri,3078262.0,807600.0,7502.0,94388.0,18454.0,487.0,226.0,4006919.0
108,Khordha,2147632.0,84060.0,12527.0,1264.0,475.0,476.0,434.0,2246868.0
109,Khunti,138863.0,13122.0,136438.0,69.0,245.0,148.0,241292.0,530177.0
110,Kinnaur,64732.0,448.0,485.0,249.0,18086.0,29.0,45.0,84074.0
111,Kiphire,1040.0,564.0,71803.0,13.0,210.0,1.0,1.0,73632.0
112,Kishanganj,531236.0,1149095.0,5783.0,398.0,183.0,1476.0,28.0,1688199.0
113,Kishtwar,93931.0,133225.0,277.0,450.0,2094.0,3.0,514.0,230494.0
114,Koch Bihar,2087766.0,720033.0,4122.0,449.0,445.0,1869.0,158.0,2814842.0
115,Kodagu,448986.0,87274.0,17130.0,139.0,126.0,250.0,220.0,554125.0
116,Kodarma,605138.0,107018.0,1221.0,944.0,32.0,980.0,269.0,715602.0
117,Kohima,25496.0,4384.0,234955.0,998.0,1519.0,80.0,335.0,267767.0
118,Kokrajhar,529068.0,252271.0,101091.0,93.0,1718.0,396.0,123.0,884760.0
119,Kolar,1305431.0,199873.0,26722.0,253.0,150.0,2494.0,92.0,1535015.0
120,Kolasib,4000.0,4426.0,75210.0,16.0,108.0,2.0,46.0,83808.0
121,Kolhapur,3379906.0,286558.0,15573.0,1570.0,29766.0,154882.0,1274.0,3869529.0
122,Kolkata,3440290.0,926414.0,39758.0,13849.0,4771.0,21178.0,1452.0,4447712.0
123,Kollam,1697635.0,508500.0,421598.0,208.0,272.0,63.0,619.0,2628895.0
124,Koppal,1218024.0,161770.0,4081.0,296.0,85.0,2898.0,461.0,1387615.0
125,Koraput,1294151.0,8850.0,68550.0,518.0,219.0,491.0,3384.0,1376163.0
126,Korba,1133176.0,30195.0,21059.0,3666.0,897.0,753.0,15649.0,1205395.0
127,Koriya,604259.0,25878.0,9398.0,1391.0,84.0,1155.0,15474.0,657639.0
128,Kota,1661307.0,243993.0,5665.0,11058.0,280.0,25742.0,286.0,1948331.0
129,Kottayam,983598.0,126499.0,858608.0,204.0,358.0,83.0,565.0,1969915.0
130,Kozhikode,1734958.0,1211131.0,131516.0,297.0,235.0,601.0,588.0,3079326.0
131,Krishna,4023678.0,307043.0,145598.0,1393.0,863.0,6320.0,906.0,4485801.0
132,Krishnagiri,1723737.0,115303.0,35956.0,468.0,121.0,373.0,221.0,1876179.0
133,Kulgam,4267.0,418076.0,460.0,1035.0,27.0,25.0,9.0,423899.0
134,Kullu,415669.0,2974.0,1568.0,1396.0,15377.0,94.0,83.0,437161.0
135,Kupwara,37128.0,823286.0,1700.0,5600.0,66.0,39.0,13.0,867832.0
136,Kurnool,3328380.0,670737.0,33165.0,737.0,255.0,2235.0,434.0,4035943.0
137,Kurukshetra,805175.0,15970.0,1943.0,140395.0,214.0,375.0,106.0,964178.0
138,Kurung Kumey,4859.0,471.0,51189.0,43.0,121.0,81.0,34158.0,90922.0
139,Kushinagar,2928462.0,620244.0,5006.0,767.0,4619.0,383.0,133.0,3559614.0
140,Lahul & Spiti,11649.0,74.0,212.0,35.0,19572.0,3.0,1.0,31546.0
141,Lakhimpur,797130.0,193476.0,46217.0,412.0,1074.0,250.0,2410.0,1040969.0
142,Lakhisarai,956396.0,40886.0,487.0,140.0,52.0,78.0,52.0,998091.0
143,Lakshadweep,1788.0,62268.0,317.0,8.0,10.0,11.0,7.0,64409.0
144,Lalitpur,1163804.0,33724.0,1351.0,1034.0,69.0,20390.0,41.0,1220413.0
145,Latehar,473049.0,69808.0,47653.0,120.0,128.0,16.0,133525.0,724299.0
146,Latur,2006984.0,367664.0,2387.0,935.0,66535.0,6387.0,310.0,2451202.0
147,Lawngtlai,1668.0,522.0,63892.0,52.0,51549.0,122.0,2.0,117807.0
148,Leh,22882.0,19057.0,658.0,1092.0,88635.0,103.0,54.0,132481.0
149,Lohardaga,112378.0,95012.0,16770.0,51.0,33.0,15.0,235987.0,460246.0
150,Lohit,99020.0,3846.0,10684.0,210.0,24452.0,104.0,7277.0,145593.0
151,Longleng,873.0,635.0,48849.0,5.0,77.0,0.0,0.0,50439.0
152,Lower Dibang Valley,28915.0,2247.0,9213.0,33.0,2932.0,19.0,10393.0,53752.0
153,Lower Subansiri,9551.0,1482.0,34402.0,27.0,193.0,13.0,37085.0,82753.0
154,Lucknow,3537787.0,985070.0,20493.0,23883.0,3877.0,4975.0,504.0,4576589.0
155,Ludhiana,1502403.0,77713.0,16517.0,1863408.0,2007.0,19620.0,1254.0,3482922.0
156,Lunglei,5231.0,1290.0,127124.0,74.0,27543.0,93.0,5.0,161360.0
157,Madhepura,1753829.0,241760.0,1342.0,170.0,60.0,133.0,81.0,1997375.0
158,Madhubani,3652168.0,818912.0,3262.0,564.0,328.0,442.0,169.0,4475845.0
159,Madurai,2760502.0,168881.0,97711.0,520.0,199.0,1532.0,305.0,3029650.0
160,Mahamaya Nagar,1397225.0,159448.0,1350.0,524.0,424.0,1289.0,63.0,1560323.0
161,Maharajganj,2196884.0,458650.0,3527.0,1381.0,16030.0,243.0,338.0,2677053.0
162,Mahasamund,1008061.0,12570.0,5284.0,2941.0,521.0,1495.0,1417.0,1032289.0
163,Mahbubnagar,3673456.0,334172.0,21345.0,658.0,290.0,388.0,267.0,4030576.0
164,Mahe,27940.0,12856.0,958.0,3.0,21.0,14.0,3.0,41795.0
165,Mahendragarh,913251.0,5660.0,301.0,1737.0,75.0,644.0,15.0,921683.0
166,Mahesana,1885732.0,136431.0,1954.0,1082.0,146.0,7087.0,88.0,2032520.0
167,Mahoba,815142.0,57454.0,965.0,389.0,94.0,234.0,157.0,874435.0
168,Mainpuri,1746649.0,100723.0,1729.0,475.0,8814.0,4161.0,38.0,1862589.0
169,Malappuram,1135259.0,2888849.0,81556.0,205.0,179.0,68.0,579.0,4106695.0
170,Maldah,1914352.0,2045151.0,13209.0,747.0,359.0,639.0,7929.0,3982386.0
171,Malkangiri,600219.0,1871.0,10039.0,213.0,43.0,195.0,35.0,612615.0
172,Mamit,2989.0,1782.0,69104.0,13.0,12328.0,25.0,19.0,86260.0
173,Mandi,981412.0,9460.0,876.0,4081.0,2628.0,43.0,86.0,998586.0
174,Mandla,849518.0,16558.0,12450.0,436.0,297.0,1789.0,170533.0,1051581.0
175,Mandsaur,1192588.0,125548.0,1120.0,849.0,242.0,19029.0,77.0,1339453.0
176,Mandya,1712695.0,77801.0,8506.0,322.0,299.0,3607.0,109.0,1803339.0
177,Mansa,156539.0,10375.0,917.0,598443.0,123.0,1577.0,493.0,768467.0
178,Mathura,2310776.0,216933.0,3179.0,2872.0,883.0,2056.0,126.0,2536825.0
179,Mau,1769937.0,428555.0,2109.0,340.0,564.0,155.0,129.0,2201789.0
180,Mayurbhanj,2113079.0,33706.0,15008.0,661.0,162.0,109.0,351714.0,2514439.0
181,Medak,2637313.0,342449.0,34301.0,1309.0,554.0,457.0,217.0,3016600.0
182,Meerut,2183255.0,1185643.0,10582.0,24912.0,1855.0,18544.0,236.0,3425027.0
183,Mewat,221846.0,862647.0,1235.0,592.0,516.0,1453.0,4.0,1088293.0
184,Mirzapur,2292534.0,195765.0,2373.0,1133.0,341.0,701.0,27.0,2492874.0
185,Moga,158414.0,9388.0,3277.0,818921.0,178.0,436.0,365.0,990979.0
186,Mokokchung,9840.0,2057.0,181847.0,78.0,442.0,66.0,6.0,194336.0
187,Mon,8102.0,3444.0,236494.0,84.0,1256.0,314.0,1.0,249695.0
188,Moradabad,2488265.0,2248392.0,13157.0,7555.0,1260.0,2426.0,382.0,4761437.0
189,Morena,1875495.0,76159.0,1092.0,557.0,3234.0,6681.0,92.0,1963310.0
190,Morigaon,451882.0,503257.0,834.0,113.0,65.0,244.0,11.0,956406.0
191,Muktsar,254920.0,4333.0,1681.0,638625.0,240.0,744.0,433.0,900976.0
192,Mumbai,1873762.0,773173.0,84555.0,13471.0,134257.0,166000.0,31094.0,3076312.0
193,Mumbai Suburban,6337132.0,1795788.0,322476.0,47288.0,469568.0,343639.0,18345.0,9334236.0
194,Munger,1252319.0,110416.0,1815.0,338.0,95.0,145.0,61.0,1365189.0
195,Murshidabad,2359061.0,4707573.0,18102.0,766.0,348.0,3037.0,7429.0,7096316.0
196,Muzaffarnagar,2382914.0,1711453.0,6495.0,18601.0,1516.0,16345.0,60.0,4137384.0
197,Muzaffarpur,4032773.0,745546.0,5149.0,933.0,288.0,382.0,98.0,4785169.0
198,Mysore,2631985.0,290549.0,39361.0,1255.0,16194.0,14419.0,493.0,2994256.0
199,Nabarangapur,1178005.0,6753.0,32152.0,169.0,189.0,325.0,54.0,1217647.0
200,Nadia,3728482.0,1382682.0,33835.0,849.0,514.0,281.0,16893.0,5163536.0
201,Nagaon,1225246.0,1563203.0,26844.0,3036.0,1073.0,1162.0,61.0,2820625.0
202,Nagapattinam,1435072.0,128617.0,47579.0,184.0,450.0,963.0,110.0,1612975.0
203,Nagaur,2833443.0,454487.0,1912.0,366.0,163.0,12940.0,276.0,3303587.0
204,Nagpur,3492202.0,390974.0,34667.0,20469.0,668050.0,24528.0,12181.0,4643071.0
205,Nainital,809717.0,120742.0,5091.0,17419.0,570.0,356.0,181.0,954076.0
206,Nalanda,2669775.0,198033.0,1978.0,393.0,414.0,561.0,64.0,2871218.0
207,Nalbari,491582.0,277488.0,429.0,62.0,27.0,1004.0,9.0,770601.0
208,Nalgonda,3249231.0,188646.0,35025.0,937.0,241.0,250.0,132.0,3474462.0
209,Namakkal,1673652.0,32483.0,16909.0,183.0,108.0,84.0,199.0,1723618.0
210,Nanded,2501741.0,471951.0,3902.0,13540.0,354189.0,5049.0,1273.0,3351645.0
211,Nandurbar,1521618.0,96182.0,8467.0,685.0,4969.0,6191.0,2907.0,1641019.0
212,Narayanpur,129161.0,776.0,600.0,96.0,71.0,409.0,8542.0,139655.0
213,Narmada,559848.0,22600.0,4413.0,147.0,80.0,373.0,2078.0,589539.0
