Rank,Account name,Owner,"Followers
(millions)",Activity,Country
1,@BarackObama,Barack Obama,114,Former U.S. president, USA
2,@justinbieber,Justin Bieber,110,Musician, CAN
3,@katyperry,Katy Perry,108,Musician, USA
4,@rihanna,Rihanna,96,Musician and businesswoman, BAR
5,@taylorswift13,Taylor Swift,86,Musician, USA
6,@Cristiano,Cristiano Ronaldo,83,Footballer, POR
7,@ladygaga,Lady Gaga,81,Musician and actress, USA
8,@TheEllenShow,Ellen DeGeneres,80,Comedian, USA
9,@realDonaldTrump,Donald Trump,74,Current U.S. president, USA
10,@YouTube,YouTube,72,Online video platform, USA
11,@ArianaGrande,Ariana Grande,72,Musician and actress, USA
12,@jtimberlake,Justin Timberlake,65,Musician and actor, USA
13,@KimKardashian,Kim Kardashian,64,Television personality and businesswoman, USA
14,@selenagomez,Selena Gomez,60,Musician and actress, USA
15,@twitter,Twitter,57,Social media platform, USA
16,@cnnbrk,CNN Breaking News,57,News channel, USA
17,@britneyspears,Britney Spears,56,Musician, USA
18,@narendramodi,Narendra Modi,54,Current Prime Minister of India, IND
19,@shakira,Shakira,52,Musician, COL
20,@jimmyfallon,Jimmy Fallon,52,Comedian, USA
21,@BillGates,Bill Gates,49,Businessman and philanthropist, USA
22,@neymarjr,Neymar,46,Footballer, BRA
23,@CNN,CNN,45,News channel, USA
24,@KingJames,LeBron James,45,Basketball player, USA
25,@nytimes,The New York Times,45,Newspaper, USA
26,@MileyCyrus,Miley Cyrus,45,Musician and actress, USA
27,@JLo,Jennifer Lopez,45,Musician and actress, USA
28,@BrunoMars,Bruno Mars,43,Musician, USA
29,@Oprah,Oprah Winfrey,43,Television personality and businesswoman, USA
30,@BBCBreaking,BBC Breaking News,42,News channel, UK
31,@SrBachchan,Amitabh Bachchan,40,Actor, IND
32,@iamsrk,Shah Rukh Khan,40,Actor and film producer, IND
33,@NiallOfficial,Niall Horan,39,Musician, IRE
34,@BeingSalmanKhan,Salman Khan,39,Actor and film producer, IND
35,@Drake,Drake,39,Rapper, CAN
36,@SportsCenter,SportsCenter,36,Sports channel, USA
37,@KevinHart4real,Kevin Hart,36,Comedian and actor, USA
38,@wizkhalifa,Wiz Khalifa,36,Rapper, USA
39,@instagram,Instagram,36,Social media platform, USA
40,@NASA,NASA,36,Space agency, USA
41,@espn,ESPN,35,Sports channel, USA
42,@LilTunechi,Lil Wayne,35,Rapper, USA
43,@Harry_Styles,Harry Styles,34,Musician, UK
44,@akshaykumar,Akshay Kumar,34,Actor, IND
45,@imVkohli,Virat Kohli,34,Cricketer, IND
46,@realmadrid,Real Madrid CF,34,Football club, ESP
47,@Louis_Tomlinson,Louis Tomlinson,34,Musician, UK
48,@LiamPayne,Liam Payne,33,Musician, UK
49,@Pink,P!nk,32,Musician, USA
50,@FCBarcelona,FC Barcelona,32,Football club, ESP